time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-08-13T13:03:48.820Z,24.9876,62.7959,24.2,4.1,mb,,130,4.184,0.83,us,usb000j7r1,2013-10-19T02:41:41.000Z,"49 km ESE of Gwadar, Pakistan",earthquake,,5.9,0.165,,reviewed,us,us
2013-07-29T14:53:34.090Z,24.6677,62.3725,25.56,4.5,mb,,129,3.706,0.92,us,usc000irpf,2015-06-22T20:11:50.599Z,"50 km S of Gwadar, Pakistan",earthquake,10.1,4.9,0.108,,reviewed,us,us
2013-05-09T16:24:05.360Z,27.741,63.469,35.3,4.5,mb,72,105,,1.39,us,usc000grxx,2014-11-07T01:50:45.843Z,"156 km SW of Dalbandin, Pakistan",earthquake,,6.2,,51,reviewed,us,us
2013-05-01T22:18:34.290Z,27.6,60.69,44.4,4,mb,55,100,,,us,usa000hg2r,2014-11-07T01:50:43.013Z,"44 km N of Iranshahr, Iran",earthquake,,,,24,reviewed,thr,us
2013-04-25T17:15:38.290Z,27.979,61.193,85,4.1,mb,53,87.9,,,us,usp000k0ew,2014-11-07T01:50:38.786Z,"26 km S of Kh?sh, Iran",earthquake,,,,11,reviewed,teh,us
2013-04-17T10:24:48.090Z,27.826,61.719,14.2,4.1,mblg,20,100,,,us,usp000k09u,2014-11-07T01:50:35.195Z,"66 km SE of Kh?sh, Iran",earthquake,,,,,reviewed,thr,teh
2013-04-17T03:04:32.200Z,27.845,62.098,46.1,4.1,mb,40,94,,,us,usp000k08x,2014-11-07T01:50:34.892Z,"96 km ESE of Kh?sh, Iran",earthquake,,,,16,reviewed,thr,us
2013-04-16T20:43:17.900Z,27.871,61.92,85,4.7,mb,81,100,,,us,usb000g8ga,2015-01-30T19:11:51.426Z,"79 km ESE of Kh?sh, Iran",earthquake,,,,60,reviewed,teh,us
2013-04-16T19:14:53.290Z,27.936,61.838,80,4.6,mb,24,100,,,us,usb000g9dc,2014-11-07T01:50:34.722Z,"68 km ESE of Kh?sh, Iran",earthquake,,,,18,reviewed,teh,us
2013-03-11T21:20:32.120Z,25.1,63.296,10,4,mb,45,97.3,,1.32,us,us2013mqbh,2014-11-07T01:50:19.693Z,"25 km SW of Pasni, Pakistan",earthquake,,,,12,reviewed,us,us
2013-01-05T05:58:20.520Z,24.423,61.941,10,4.6,mb,84,143.4,,0.9,us,usp000jxue,2014-11-07T01:49:46.382Z,"72 km SSE of Jiwani, Pakistan",earthquake,,,,32,reviewed,us,us
2012-11-30T08:08:10.080Z,24.913,60.798,10,4.4,mb,56,79.9,,0.79,us,usp000jw8v,2014-11-07T01:49:27.794Z,"44 km SSE of Chabahar, Iran",earthquake,,,,16,reviewed,us,us
2012-10-31T02:23:27.000Z,26.83,61.98,17,4.4,mb,36,117.8,,,us,usp000juu5,2014-11-07T01:49:12.125Z,"135 km ESE of Iranshahr, Iran",earthquake,,,,11,reviewed,thr,us
2012-03-29T19:03:44.980Z,25.035,60.732,10,4.6,mb,35,112.6,,0.85,us,usp000jgyq,2014-11-07T01:47:20.345Z,"29 km SSE of Chabahar, Iran",earthquake,,,,5,reviewed,us,us
2011-08-08T04:07:21.790Z,24.934,62.859,10,4.4,mb,28,97.2,,0.9,us,usp000j65p,2014-11-07T01:45:34.810Z,"57 km ESE of Gwadar, Pakistan",earthquake,,,,7,reviewed,us,us
2011-01-30T18:29:19.650Z,25.032,60.75,10,4.1,mb,16,182.2,,0.99,us,usp000htvf,2014-11-07T01:43:31.774Z,"30 km SSE of Chabahar, Iran",earthquake,,,,3,reviewed,us,us
2010-07-19T17:45:48.400Z,27.838,62.654,33.6,4.5,mb,69,96.1,,,us,usp000hfzh,2014-11-07T01:41:56.499Z,"147 km ESE of Kh?sh, Iran",earthquake,,,,12,reviewed,teh,us
