time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-17T22:58:20.290Z,30.5619,66.3882,10.0,4.4,mb,,81.0,4.556,0.9,us,us10006eks,2016-11-15T02:21:52.040Z,"39 km S of Chaman, Pakistan",earthquake,8.1,1.9,0.087,38.0,reviewed,us,us
2016-07-10T21:33:55.890Z,30.8996,66.4706,30.09,4.7,mb,,96.0,4.228,0.74,us,us100062gd,2022-05-03T17:53:57.367Z,"2 km SE of Chaman, Pakistan",earthquake,8.0,4.9,0.051,116.0,reviewed,us,us
2016-05-13T07:01:10.270Z,30.659,66.3878,10.0,5.5,mwb,,33.0,4.472,0.95,us,us10005h1j,2022-05-03T17:57:20.044Z,"29 km SSW of Chaman, Pakistan",earthquake,8.0,1.8,0.055,32.0,reviewed,us,us
2016-05-13T07:00:51.270Z,30.6507,66.4361,10.0,4.7,mb,,55.0,4.459,0.95,us,us10005h1s,2022-05-03T17:48:43.748Z,"29 km S of Chaman, Pakistan",earthquake,6.7,1.9,0.095,34.0,reviewed,us,us
2016-05-13T06:59:32.030Z,30.6598,66.4243,10.0,5.2,mwb,,21.0,4.456,0.87,us,us10005h1a,2022-05-03T17:48:42.453Z,"28 km S of Chaman, Pakistan",earthquake,7.4,1.8,0.055,32.0,reviewed,us,us
2015-11-08T12:08:38.800Z,31.5433,67.0558,20.04,4.3,mb,,147.0,3.423,1.25,us,us10003vqj,2016-02-05T03:16:36.040Z,"63 km SSE of Qal?t, Afghanistan",earthquake,10.7,6.0,0.137,15.0,reviewed,us,us
2015-10-17T00:06:00.200Z,28.8422,64.3723,55.47,4.5,mb,,124.0,5.817,0.82,us,us10003paa,2016-01-15T20:50:51.040Z,"6 km SSW of Dalbandin, Pakistan",earthquake,9.2,5.2,0.078,48.0,reviewed,us,us
2015-08-27T13:58:44.190Z,31.8793,67.3041,20.77,4.2,mb,,147.0,3.028,0.63,us,us100035a5,2015-12-01T00:35:58.040Z,"45 km SE of Qal?t, Afghanistan",earthquake,7.6,7.1,0.199,7.0,reviewed,us,us
2015-05-20T13:19:19.920Z,29.8845,67.4626,18.15,4.2,mb,,110.0,4.832,0.97,us,us10002auh,2015-07-23T01:04:13.040Z,"12 km E of Mach, Pakistan",earthquake,10.6,4.8,0.147,13.0,reviewed,us,us
2015-05-15T21:15:13.330Z,31.0754,67.8671,22.27,4.1,mb,,144.0,3.594,1.19,us,us100029la,2015-07-23T01:04:01.040Z,"38 km NNE of Khadan Khak, Pakistan",earthquake,9.9,8.3,0.126,17.0,reviewed,us,us
2015-04-15T12:42:44.040Z,29.8751,67.8637,18.43,4.0,mb,,184.0,4.758,0.99,us,us2000284m,2015-06-22T23:19:02.040Z,"26 km SSW of Harnai, Pakistan",earthquake,11.1,6.1,0.231,5.0,reviewed,us,us
2015-03-29T14:24:01.110Z,28.5952,66.375,10.71,4.2,mb,,157.0,6.349,1.03,us,us10001rrz,2015-06-12T01:53:27.040Z,"15 km NE of Surab, Pakistan",earthquake,9.7,1.9,0.124,18.0,reviewed,us,us
2015-02-12T18:11:27.860Z,28.2964,66.4437,24.43,4.1,mb,,115.0,6.609,1.05,us,usb000tnq4,2015-05-11T23:20:10.040Z,"28 km SE of Surab, Pakistan",earthquake,6.3,5.7,0.145,16.0,reviewed,us,us
2014-11-24T22:04:05.290Z,30.24,67.5154,18.29,4.5,mb,,96.0,4.478,0.82,us,usb000szpg,2015-02-18T03:30:58.040Z,Pakistan,earthquake,7.1,3.6,0.098,31.0,reviewed,us,us
2014-06-22T04:23:33.860Z,28.7611,67.3607,14.24,4.0,mb,,115.0,5.937,1.0,us,usc000rjwt,2014-09-19T17:23:05.000Z,"54 km SW of Bhag, Pakistan",earthquake,,5.2,0.172,11.0,reviewed,us,us
2014-05-16T06:32:10.690Z,29.4664,67.695,18.87,4.9,mb,,97.0,5.187,0.85,us,usb000qqg4,2014-08-09T02:53:45.000Z,"4 km ESE of Dadhar, Pakistan",earthquake,,2.4,0.057,98.0,reviewed,us,us
2014-03-12T19:19:18.300Z,29.3727,67.4259,17.73,4.0,mb,,151.0,5.332,0.65,us,usc000nnva,2014-05-16T21:51:38.000Z,"24 km WSW of Dadhar, Pakistan",earthquake,,6.6,0.299,3.0,reviewed,us,us
2014-03-09T23:53:34.030Z,29.1631,67.7279,9.99,4.2,mb,,97.0,5.477,1.12,us,usc000n651,2014-05-15T02:24:00.000Z,"16 km NW of Bhag, Pakistan",earthquake,,1.8,0.136,19.0,reviewed,us,us
2013-12-06T21:15:01.860Z,28.2604,66.5701,33.28,4.2,mb,,119.0,6.607,0.64,us,usb000lczu,2014-02-15T01:32:11.000Z,"39 km SE of Surab, Pakistan",earthquake,,7.0,0.106,,reviewed,us,us
2013-11-16T07:19:55.840Z,30.1352,66.3006,22.14,4.1,mb,,105.0,4.968,0.96,us,usb000kzr0,2014-01-31T21:22:22.000Z,"64 km NW of Mastung, Pakistan",earthquake,,5.6,0.158,,reviewed,us,us
2013-11-15T10:42:40.520Z,29.8329,67.5025,17.75,4.9,mb,,70.0,4.872,0.87,us,usb000kyxr,2022-05-03T16:33:08.419Z,"16 km ESE of Mach, Pakistan",earthquake,,3.5,0.056,,reviewed,us,us
2013-10-18T13:18:22.570Z,28.2609,66.5271,10.0,5.2,mb,,50.0,6.619,0.93,us,usb000kgbw,2022-05-03T17:54:26.850Z,"36 km SE of Surab, Pakistan",earthquake,,1.8,0.064,,reviewed,us,us
2013-10-10T21:06:11.530Z,28.2301,65.9639,26.55,4.0,mb,,114.0,6.819,0.77,us,usb000kff0,2013-12-24T01:42:58.000Z,Pakistan,earthquake,,5.3,0.195,,reviewed,us,us
2013-08-09T01:32:22.810Z,30.4099,66.3953,22.26,4.2,mb,,104.0,4.687,0.87,us,usb000izbs,2013-10-12T21:32:32.000Z,"56 km S of Chaman, Pakistan",earthquake,,5.8,0.152,,reviewed,us,us
2013-02-26T20:12:13.550Z,29.194,67.554,10.0,4.7,mb,65.0,96.8,,1.15,us,usp000jzj7,2014-11-07T01:50:12.157Z,"31 km WNW of Bhag, Pakistan",earthquake,,,,26.0,reviewed,us,us
2013-01-10T23:48:04.840Z,29.02,67.403,15.2,4.2,mb,52.0,113.8,,0.82,us,usp000jy78,2014-11-07T01:49:48.819Z,"41 km W of Bhag, Pakistan",earthquake,,16.0,,9.0,reviewed,us,us
2012-12-25T17:36:32.800Z,28.464,66.465,35.0,5.0,mb,169.0,56.8,,0.96,us,usp000jxd6,2014-11-07T01:49:39.651Z,"20 km E of Surab, Pakistan",earthquake,,,,108.0,reviewed,us,us
